class;aa_000;ae_000;af_000;ag_000;ag_001;ag_002;ag_003;ag_004;ag_005;ag_006;ag_007;ag_008;ag_009;ah_000;ai_000;aj_000;al_000;am_0;an_000;ao_000;ap_000;aq_000;ar_000;as_000;at_000;au_000;av_000;ax_000;ay_000;ay_001;ay_002;ay_003;ay_004;ay_005;ay_006;ay_007;ay_008;ay_009;az_000;az_001;az_002;az_003;az_004;az_005;az_006;az_007;az_008;az_009;ba_000;ba_001;ba_002;ba_003;ba_004;ba_005;ba_006;ba_007;ba_008;ba_009;bb_000;bc_000;bd_000;be_000;bf_000;bg_000;bh_000;bi_000;bj_000;dl_000;dm_000;dn_000;do_000;dp_000;dq_000;dr_000;ds_000;dt_000;du_000;dv_000;dx_000;dy_000;dz_000;ea_000;eb_000;ee_000;ee_001;ee_002;ee_003;ee_004;ee_005;ee_006;ee_007;ee_008;ee_009;ef_000;eg_000
neg;76698;0;0;0;0;0;0;37250;1432864;3664156;1007684;25896;0;2551696;0;0;0;0;4933296;3655166;1766008;1132040;0;0;0;0;1012;268;0;0;0;0;0;469014;4239660;703300;755876;0;5374;2108;4114;12348;615248;5526276;2378;4;0;0;2328746;1022304;415432;287230;310246;681504;1118814;3574;0;0;6700214;0;10;108;50;2551696;97518;947550;799478;0;0;62282;85908;32790;0;0;202710;37928;14745580;1876644;0;0;0;0;2801180;965866;1706908;1240520;493384;721044;469792;339156;157956;73224;0;0;0
neg;33058;0;0;0;0;0;0;18254;653294;1720800;516724;31642;0;1393352;0;68;0;0;2560898;2127150;1084598;338544;0;0;0;0;0;0;0;0;0;0;0;71510;772720;1996924;99560;0;7336;7808;13776;13086;1010074;1873902;14726;6;0;0;1378576;447166;199512;154298;137280;138668;165908;229652;87082;4708;3646660;86;454;364;350;1393352;49028;688314;392208;0;0;33736;36946;5936;0;0;103330;16254;4510080;868538;0;0;0;0;3477820;664504;824154;421400;178064;293306;245416;133654;81140;97576;1500;0;0
neg;41040;0;0;0;0;0;0;1648;370592;1883374;292936;12016;0;1234132;0;0;0;0;2371990;2173634;300796;153698;0;0;0;0;358;110;0;0;0;0;0;0;870456;239798;1450312;0;1620;1156;1228;34250;1811606;710672;34;0;0;0;790690;672026;332340;254892;189596;135758;103552;81666;46;0;2673338;128;202;576;4;1234132;28804;160176;139730;0;0;13876;38182;8138;0;0;65772;10534;300240;48028;0;0;0;0;1040120;262032;453378;277378;159812;423992;409564;320746;158022;95128;514;0;0
neg;12;0;10;0;0;0;318;2212;3232;1872;0;0;0;2668;0;0;642;3894;10184;7554;10764;1014;0;0;0;0;60;6;0;0;0;0;0;0;0;2038;5596;0;64;6;6;914;76;2478;2398;1692;0;0;6176;340;304;102;74;406;216;16;0;0;21614;2;12;0;0;2668;184;7632;3090;0;0;232;0;0;2014;370;48;18;15740;1822;20174;44;0;0;0;5670;1566;240;46;58;44;10;0;0;0;4;32
neg;60874;0;0;0;0;0;0;43752;1966618;1800340;131646;4588;0;1974038;0;226;0;0;3230626;2618878;1058136;551022;0;0;0;0;1788;642;0;0;0;0;42124;372236;2128914;819596;584074;0;1644;362;562;842;30194;3911734;1606;0;0;0;1348578;1035668;338762;236540;182278;151778;163248;470800;19292;0;4289260;448;556;642;2;1974038;86454;653692;399410;0;0;44946;62648;11506;0;0;149474;35154;457040;80482;98334;27588;0;0;21173050;404740;904230;622012;229790;405298;347188;286954;311560;433954;1218;0;0
neg;38312;0;0;0;0;0;0;9128;701702;1462836;449716;39000;660;1087760;0;0;0;0;2283060;1892752;469244;347054;0;0;0;0;1142;452;0;0;0;0;0;280112;1160742;774914;447274;0;1580;680;886;1270;42450;2615652;524;0;0;0;1037372;710296;244992;145738;99242;70704;90386;260950;3362;0;2752812;474;2974;502;4;1087760;37720;250044;218150;0;0;21304;73432;16092;0;0;52748;12092;10244700;1126020;0;0;0;0;0;301078;481542;388574;288278;900430;300412;1534;338;856;0;0;0
neg;14;0;0;0;0;0;0;1202;3766;1150;0;0;0;2094;0;0;0;0;12460;11044;2292;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6118;0;1484;14;24;16;88;4492;0;0;0;0;4332;646;316;54;140;444;122;16;14;34;14764;0;0;0;0;2094;124;1074;1206;0;0;122;0;0;0;0;62;24;4200;1184;0;0;0;0;0;4252;1562;168;48;60;28;0;0;0;0;0;0
neg;102960;0;0;0;0;0;0;2130;142462;4227340;1674278;59718;876;2738458;0;0;0;0;5586558;4916376;1193648;568900;0;0;0;0;182;34;0;0;0;0;0;34444;1558518;3996204;517638;0;6634;6406;12848;34152;427644;5618652;468;0;0;0;1699220;1550888;619780;445704;323882;261558;337086;868682;4;0;6781222;16;20;236;12;2738458;78114;872308;319140;0;0;47130;167572;51922;0;0;133502;26976;14438160;1487036;0;0;0;0;3537310;543294;907360;715518;384948;915978;1052166;1108672;341532;129504;7832;0;0
neg;78696;0;0;0;0;0;0;458;440704;4398806;2179182;144418;808;3209768;0;80;0;0;6289144;5590784;1256914;579650;0;0;0;0;0;0;0;0;0;0;15198;123920;898176;1096132;5030950;0;5574;1170;2110;3372;61402;7090548;174;20;4;2;3982850;1580644;567792;293120;231626;372878;135466;0;0;0;7547346;0;42;50;960;3209768;113418;554154;700112;0;0;49590;51228;10824;0;0;270482;49762;15642140;1860094;0;0;0;0;400610;1875574;1759758;699290;362510;1190028;1012704;160090;63216;41202;4;0;0
pos;153204;0;0;0;0;0;11804;684444;326536;31586;0;0;0;2658638;14346;0;29384;46356;5566182;4426834;1571480;1120644;2;0;0;0;1368;862;0;0;0;0;0;0;0;94188;960182;0;250;16;32;146;126;951126;91162;11512;0;0;702994;186172;69282;36640;20698;17720;18586;2278;0;0;7167172;692;152;1690;294;2658638;126990;355360;1215418;0;0;51558;0;0;0;0;0;0;0;0;0;0;0;0;0;512878;293880;129862;26872;34044;22472;34362;0;0;0;0;0
neg;39196;0;0;0;0;0;0;4352;713882;1532850;161974;604;0;1055746;3320;0;0;0;2036770;1667600;507260;306582;0;0;0;0;226;90;0;0;0;0;0;54060;2241184;118418;0;0;1928;396;824;21282;1515424;873780;28;0;0;0;993586;477692;153768;123522;107012;98972;113954;335506;9650;0;2544730;338;476;652;14;1055746;31700;208262;295276;0;0;18696;27586;6210;0;0;63530;10988;383960;42262;0;0;0;0;9195680;452554;330844;198386;99614;215734;189966;219996;208724;463790;34054;0;0
